productid,ean,colorid,size,description,originalprice,reducedprice,taxrate,discountinpercent,currentlyactive,created,updated
53,70878479,92,9,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,32756737,92,10,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,21645711,90,6,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,54151928,90,7,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,21625743,90,8,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,57191900,90,9,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,28820051,90,10,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,77991799,122,6,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,95678283,122,7,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,40595786,122,8,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,69225343,122,9,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,1732185,122,10,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,96149516,130,6,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,45748818,130,7,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,62158216,130,8,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,72917117,130,9,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,13396497,130,10,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,47184733,62,6,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,22264265,62,7,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,21079818,62,8,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,28203616,62,9,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
53,77081891,62,10,The stylish Button-Down Shirt Escudois just what you need right now!,151.00,98.15,19,35,t,2018-08-02 10:48:48.224576+00,
54,43291899,22,11,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,60248260,22,12,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,23848707,22,13,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,24807134,22,14,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,95740887,22,15,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,46031266,12,11,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,14764079,12,12,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,35775712,12,13,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,96747610,12,14,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,54369575,12,15,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,19030850,107,11,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,40462759,107,12,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,42926814,107,13,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,97579152,107,14,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
54,61106604,107,15,The stylish Espadrilles Lumois just what you need right now!,115.00,,19,,t,2018-08-02 10:48:48.224576+00,
55,99704333,79,1,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,7468355,79,2,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,61189074,79,3,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,24018960,79,4,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,78682650,79,5,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,86997656,118,1,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,88101378,118,2,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,73872126,118,3,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,83653190,118,4,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,62157923,118,5,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,72506920,14,1,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,92027983,14,2,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,55729524,14,3,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,38823556,14,4,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,2922629,14,5,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,15751615,80,1,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,29183790,80,2,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,6465151,80,3,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,75051991,80,4,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,97886610,80,5,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,43932899,95,1,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,96874456,95,2,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,1369149,95,3,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,132197,95,4,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
55,47435735,95,5,The stylish Bra Chrisieis just what you need right now!,121.00,116.16,19,4,t,2018-08-02 10:48:58.471454+00,
56,52453093,38,6,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,4014015,38,7,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,36370730,38,8,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,30879259,38,9,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,65077289,38,10,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,88971902,94,6,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,45792752,94,7,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,89391841,94,8,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,89041197,94,9,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
56,60160152,94,10,The stylish Dress Shirt Pepperis just what you need right now!,137.00,,19,,t,2018-08-02 10:48:58.471454+00,
57,11512424,62,1,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,51234095,62,2,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,33015425,62,3,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,22859781,62,4,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,8638589,62,5,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,93524175,19,1,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,21853323,19,2,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,55384716,19,3,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,96541249,19,4,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,77416263,19,5,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,69533855,31,1,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,24646894,31,2,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,44285358,31,3,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,95649028,31,4,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,85538367,31,5,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,43450980,16,1,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,28261854,16,2,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,66883387,16,3,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,36884027,16,4,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,23868385,16,5,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,92344540,116,1,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,44692691,116,2,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,36119033,116,3,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,37339425,116,4,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,52727180,116,5,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,85381746,55,1,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,69589421,55,2,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,17916347,55,3,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,55543271,55,4,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
57,9190539,55,5,The stylish Necklace Kiffis just what you need right now!,128.00,102.40,19,20,t,2018-08-02 10:48:58.471454+00,
58,10846520,53,6,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,4723249,53,7,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,37931736,53,8,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,7208467,53,9,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,65758813,53,10,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,54006129,52,6,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,63453911,52,7,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,59644003,52,8,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,17461407,52,9,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,5401709,52,10,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,98999037,32,6,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,11745987,32,7,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,41183351,32,8,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,90057286,32,9,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,60479562,32,10,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,94893079,126,6,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,46941656,126,7,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,88980359,126,8,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,63602556,126,9,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,2003620,126,10,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,78638589,141,6,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,92147159,141,7,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,46404872,141,8,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,39533392,141,9,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,36068029,141,10,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,90588382,128,6,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,37084555,128,7,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,94390010,128,8,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,82218041,128,9,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
58,8836907,128,10,The stylish Blazers & Sport Coats Cyliasis just what you need right now!,83.00,53.12,19,36,t,2018-08-02 10:48:58.471454+00,
59,41988137,6,11,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,10385549,6,12,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,80013637,6,13,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,36690399,6,14,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,51479517,6,15,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,97162579,118,11,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,25807518,118,12,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,13292771,118,13,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,22100078,118,14,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
59,69884818,118,15,The stylish Comfort Shoes Arnhildis just what you need right now!,119.00,114.24,19,4,t,2018-08-02 10:48:58.471454+00,
60,7199784,91,11,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,91670114,91,12,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,56654525,91,13,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,89870121,91,14,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,40892475,91,15,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,96839381,26,11,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,38680632,26,12,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,30545691,26,13,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,12476669,26,14,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,54732214,26,15,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,3091042,37,11,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,46778483,37,12,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
60,82501575,37,13,The stylish Watch Pankais just what you need right now!,125.00,93.75,19,25,t,2018-08-02 10:48:58.471454+00,
