id,orderid,articleid,amount,price,created,updated
58,25,2920,1,101.70,2018-08-02 13:30:40.686986+00,
59,26,15551,1,63.24,2018-08-02 13:30:40.686986+00,
60,26,14568,1,90.09,2018-08-02 13:30:40.686986+00,
61,27,12528,1,45.90,2018-08-02 13:30:40.686986+00,
62,27,9887,1,105.00,2018-08-02 13:30:40.686986+00,
63,27,1426,1,70.07,2018-08-02 13:30:40.686986+00,
64,28,14127,1,123.00,2018-08-02 13:30:40.686986+00,
65,28,5274,1,60.52,2018-08-02 13:30:40.686986+00,
66,28,9127,1,140.65,2018-08-02 13:30:40.686986+00,
67,28,8159,1,58.20,2018-08-02 13:30:40.686986+00,
68,29,16155,1,89.00,2018-08-02 13:30:40.686986+00,
69,29,1633,1,92.00,2018-08-02 13:30:40.686986+00,
70,30,7727,1,56.00,2018-08-02 13:30:40.686986+00,
71,30,16472,1,57.00,2018-08-02 13:30:40.686986+00,
72,31,16492,1,105.00,2018-08-02 13:30:40.686986+00,
73,31,17493,1,63.60,2018-08-02 13:30:40.686986+00,
74,31,1883,1,65.00,2018-08-02 13:30:40.686986+00,
75,31,3266,1,141.00,2018-08-02 13:30:40.686986+00,
76,32,3300,1,36.00,2018-08-02 13:30:40.686986+00,
77,33,10258,1,54.00,2018-08-02 13:30:40.686986+00,
78,33,9045,1,89.10,2018-08-02 13:30:40.686986+00,
79,33,4715,1,84.00,2018-08-02 13:30:40.686986+00,
80,34,5329,1,67.20,2018-08-02 13:30:40.686986+00,
81,34,10204,1,45.58,2018-08-02 13:30:40.686986+00,
82,34,4029,1,146.00,2018-08-02 13:30:40.686986+00,
83,35,5923,1,79.00,2018-08-02 13:30:40.686986+00,
84,35,12170,1,114.00,2018-08-02 13:30:40.686986+00,
85,35,11246,1,86.00,2018-08-02 13:30:40.686986+00,
86,36,6715,1,88.58,2018-08-02 13:30:40.686986+00,
87,36,9248,1,71.40,2018-08-02 13:30:40.686986+00,
88,36,4382,1,118.00,2018-08-02 13:30:40.686986+00,
89,37,18368,1,64.00,2018-08-02 13:30:40.686986+00,
90,37,11749,1,133.00,2018-08-02 13:30:40.686986+00,
91,37,5268,1,60.52,2018-08-02 13:30:40.686986+00,
92,37,18078,1,39.00,2018-08-02 13:30:40.686986+00,
93,37,2339,1,73.00,2018-08-02 13:30:40.686986+00,
94,38,2673,1,70.00,2018-08-02 13:30:40.686986+00,
95,38,10166,1,67.20,2018-08-02 13:30:40.686986+00,
96,38,1674,1,66.50,2018-08-02 13:30:40.686986+00,
97,39,6964,1,44.20,2018-08-02 13:30:40.686986+00,
98,39,6116,1,150.00,2018-08-02 13:30:40.686986+00,
99,39,10373,1,42.60,2018-08-02 13:30:40.686986+00,
100,39,3427,1,103.00,2018-08-02 13:30:40.686986+00,
101,40,7247,1,93.00,2018-08-02 13:30:40.686986+00,
102,40,12201,1,44.40,2018-08-02 13:30:40.686986+00,
103,40,14965,1,64.74,2018-08-02 13:30:40.686986+00,
104,40,11075,1,64.00,2018-08-02 13:30:40.686986+00,
105,40,16846,1,45.60,2018-08-02 13:30:40.686986+00,
106,41,2627,1,42.18,2018-08-02 13:30:40.686986+00,
107,41,14907,1,82.20,2018-08-02 13:30:40.686986+00,
108,41,10718,1,78.60,2018-08-02 13:30:40.686986+00,
109,42,11551,1,41.04,2018-08-02 13:30:40.686986+00,
110,42,8872,1,56.00,2018-08-02 13:30:40.686986+00,
111,43,1930,1,147.00,2018-08-02 13:30:40.686986+00,
112,43,14291,1,140.00,2018-08-02 13:30:40.686986+00,
113,43,11664,1,104.00,2018-08-02 13:30:40.686986+00,
114,43,9759,1,107.00,2018-08-02 13:30:40.686986+00,
115,43,13543,1,73.80,2018-08-02 13:30:40.686986+00,
116,44,11246,1,86.00,2018-08-02 13:30:40.686986+00,
117,45,1912,1,103.66,2018-08-02 13:30:40.686986+00,
118,45,3390,1,68.68,2018-08-02 13:30:40.686986+00,
119,45,8572,1,70.56,2018-08-02 13:30:40.686986+00,
120,46,13814,1,81.00,2018-08-02 13:30:40.686986+00,
121,46,11789,1,91.00,2018-08-02 13:30:40.686986+00,
122,46,14176,1,65.00,2018-08-02 13:30:40.686986+00,
123,46,14361,1,67.00,2018-08-02 13:30:40.686986+00,
124,46,6142,1,77.00,2018-08-02 13:30:40.686986+00,
125,47,17223,1,140.00,2018-08-02 13:30:40.686986+00,
126,47,11600,1,55.20,2018-08-02 13:30:40.686986+00,
127,47,5548,1,64.00,2018-08-02 13:30:40.686986+00,
128,48,9921,1,114.55,2018-08-02 13:30:40.686986+00,
129,48,7207,1,72.45,2018-08-02 13:30:40.686986+00,
130,48,6031,1,74.40,2018-08-02 13:30:40.686986+00,
131,48,4486,1,71.00,2018-08-02 13:30:40.686986+00,
132,48,14893,1,116.85,2018-08-02 13:30:40.686986+00,
133,49,8828,1,97.90,2018-08-02 13:30:40.686986+00,
134,50,15921,1,87.00,2018-08-02 13:30:40.686986+00,
135,51,8636,1,68.00,2018-08-02 13:30:40.686986+00,
136,52,5916,1,79.00,2018-08-02 13:30:40.686986+00,
137,52,11427,1,149.00,2018-08-02 13:30:40.686986+00,
138,52,11558,1,41.04,2018-08-02 13:30:40.686986+00,
139,53,2191,1,117.18,2018-08-02 13:30:40.686986+00,
140,53,17317,1,94.08,2018-08-02 13:30:40.686986+00,
141,54,9496,1,137.00,2018-08-02 13:30:40.686986+00,
142,55,2619,1,42.18,2018-08-02 13:30:40.686986+00,
143,55,4137,1,57.42,2018-08-02 13:30:40.686986+00,
144,55,2569,1,114.00,2018-08-02 13:30:40.686986+00,
145,56,10156,1,67.20,2018-08-02 13:30:40.686986+00,
146,56,7164,1,132.30,2018-08-02 13:30:40.686986+00,
147,57,4234,1,86.24,2018-08-02 13:30:40.686986+00,
148,58,2191,1,117.18,2018-08-02 13:30:40.686986+00,
149,58,12906,1,47.40,2018-08-02 13:30:40.686986+00,
150,58,8734,1,108.57,2018-08-02 13:30:40.686986+00,
151,59,14698,1,71.40,2018-08-02 13:30:40.686986+00,
152,59,14312,1,66.75,2018-08-02 13:30:40.686986+00,
153,60,2152,1,81.60,2018-08-02 13:30:40.686986+00,
154,60,14860,1,104.37,2018-08-02 13:30:40.686986+00,
155,60,9777,1,107.00,2018-08-02 13:30:40.686986+00,
156,60,4038,1,146.00,2018-08-02 13:30:40.686986+00,
157,60,15129,1,102.60,2018-08-02 13:30:40.686986+00,
158,61,1879,1,65.00,2018-08-02 13:30:40.686986+00,
159,61,3066,1,107.00,2018-08-02 13:30:40.686986+00,
160,61,17573,1,115.00,2018-08-02 13:30:40.686986+00,
161,61,3957,1,84.00,2018-08-02 13:30:40.686986+00,
162,62,3605,1,53.82,2018-08-02 13:30:40.686986+00,
163,62,3086,1,142.00,2018-08-02 13:30:40.686986+00,
164,62,8664,1,121.00,2018-08-02 13:30:40.686986+00,
165,62,10890,1,88.00,2018-08-02 13:30:40.686986+00,
166,63,2132,1,72.09,2018-08-02 13:30:40.686986+00,
167,63,3598,1,127.80,2018-08-02 13:30:40.686986+00,
168,64,14923,1,97.00,2018-08-02 13:30:40.686986+00,
169,64,13059,1,74.40,2018-08-02 13:30:40.686986+00,
170,64,11708,1,60.00,2018-08-02 13:30:40.686986+00,
171,64,8462,1,32.40,2018-08-02 13:30:40.686986+00,
172,65,6376,1,53.82,2018-08-02 13:30:40.686986+00,
173,65,10535,1,94.80,2018-08-02 13:30:40.686986+00,
174,66,9177,1,71.28,2018-08-02 13:30:40.686986+00,
175,66,8942,1,147.00,2018-08-02 13:30:40.686986+00,
176,67,1662,1,92.00,2018-08-02 13:30:40.686986+00,
177,67,2238,1,123.48,2018-08-02 13:30:40.686986+00,
178,67,891,1,116.16,2018-08-02 13:30:40.686986+00,
179,67,8974,1,128.00,2018-08-02 13:30:40.686986+00,
180,67,7034,1,83.00,2018-08-02 13:30:40.686986+00,
181,68,17934,1,56.09,2018-08-02 13:30:40.686986+00,
182,68,1205,1,41.40,2018-08-02 13:30:40.686986+00,
183,69,15686,1,75.00,2018-08-02 13:30:40.686986+00,
184,69,4187,1,100.33,2018-08-02 13:30:40.686986+00,
185,70,6823,1,101.00,2018-08-02 13:30:40.686986+00,
186,70,15511,1,97.58,2018-08-02 13:30:40.686986+00,
187,70,6087,1,33.60,2018-08-02 13:30:40.686986+00,
188,70,13277,1,52.00,2018-08-02 13:30:40.686986+00,
189,70,13529,1,73.00,2018-08-02 13:30:40.686986+00,
190,71,15686,1,75.00,2018-08-02 13:30:40.686986+00,
191,71,15540,1,102.00,2018-08-02 13:30:40.686986+00,
192,72,11876,1,63.00,2018-08-02 13:30:40.686986+00,
193,72,15516,1,97.58,2018-08-02 13:30:40.686986+00,
194,72,8242,1,116.00,2018-08-02 13:30:40.686986+00,
195,72,6186,1,132.00,2018-08-02 13:30:40.686986+00,
196,73,7511,1,135.00,2018-08-02 13:30:40.686986+00,
197,73,14099,1,96.00,2018-08-02 13:30:40.686986+00,
198,73,3263,1,141.00,2018-08-02 13:30:40.686986+00,
199,73,7807,1,84.00,2018-08-02 13:30:40.686986+00,
200,73,9859,1,86.58,2018-08-02 13:30:40.686986+00,
201,74,2679,1,70.00,2018-08-02 13:30:40.686986+00,
202,74,17395,1,118.75,2018-08-02 13:30:40.686986+00,
203,74,14905,1,82.20,2018-08-02 13:30:40.686986+00,
204,75,8621,1,51.00,2018-08-02 13:30:40.686986+00,
205,75,17885,1,46.80,2018-08-02 13:30:40.686986+00,
206,76,9307,1,95.00,2018-08-02 13:30:40.686986+00,
207,76,17655,1,52.20,2018-08-02 13:30:40.686986+00,
208,76,17535,1,104.00,2018-08-02 13:30:40.686986+00,
209,77,4493,1,116.00,2018-08-02 13:30:40.686986+00,
210,77,4329,1,65.40,2018-08-02 13:30:40.686986+00,
211,78,5880,1,108.00,2018-08-02 13:30:40.686986+00,
212,78,15856,1,60.45,2018-08-02 13:30:40.686986+00,
213,78,10826,1,115.00,2018-08-02 13:30:40.686986+00,
214,78,1923,1,147.00,2018-08-02 13:30:40.686986+00,
215,78,6368,1,53.82,2018-08-02 13:30:40.686986+00,
216,79,11263,1,113.00,2018-08-02 13:30:40.686986+00,
217,79,15308,1,102.00,2018-08-02 13:30:40.686986+00,
218,79,957,1,53.12,2018-08-02 13:30:40.686986+00,
219,79,13745,1,78.39,2018-08-02 13:30:40.686986+00,
220,79,4791,1,148.00,2018-08-02 13:30:40.686986+00,
221,80,18334,1,145.00,2018-08-02 13:30:40.686986+00,
222,81,18207,1,109.98,2018-08-02 13:30:40.686986+00,
223,81,16608,1,79.54,2018-08-02 13:30:40.686986+00,
224,81,1320,1,79.00,2018-08-02 13:30:40.686986+00,
225,82,5708,1,78.00,2018-08-02 13:30:40.686986+00,
226,82,7854,1,55.38,2018-08-02 13:30:40.686986+00,
227,82,10075,1,106.00,2018-08-02 13:30:40.686986+00,
228,83,14813,1,55.00,2018-08-02 13:30:40.686986+00,
229,83,12010,1,72.96,2018-08-02 13:30:40.686986+00,
230,83,7369,1,52.92,2018-08-02 13:30:40.686986+00,
231,83,3746,1,135.00,2018-08-02 13:30:40.686986+00,
232,83,3750,1,127.00,2018-08-02 13:30:40.686986+00,
233,84,10724,1,87.75,2018-08-02 13:30:40.686986+00,
234,84,4787,1,148.00,2018-08-02 13:30:40.686986+00,
235,85,16060,1,56.00,2018-08-02 13:30:40.686986+00,
236,85,8717,1,95.00,2018-08-02 13:30:40.686986+00,
237,85,11166,1,48.00,2018-08-02 13:30:40.686986+00,
238,85,1755,1,100.00,2018-08-02 13:30:40.686986+00,
239,86,8481,1,116.62,2018-08-02 13:30:40.686986+00,
240,86,16819,1,73.20,2018-08-02 13:30:40.686986+00,
241,87,6195,1,132.00,2018-08-02 13:30:40.686986+00,
242,87,1960,1,53.00,2018-08-02 13:30:40.686986+00,
243,87,10416,1,114.00,2018-08-02 13:30:40.686986+00,
244,88,8671,1,121.00,2018-08-02 13:30:40.686986+00,
245,89,14315,1,66.75,2018-08-02 13:30:40.686986+00,
246,89,14317,1,66.75,2018-08-02 13:30:40.686986+00,
247,89,8184,1,80.00,2018-08-02 13:30:40.686986+00,
248,90,10410,1,114.00,2018-08-02 13:30:40.686986+00,
249,91,13279,1,52.00,2018-08-02 13:30:40.686986+00,
250,91,6530,1,61.80,2018-08-02 13:30:40.686986+00,
251,91,5353,1,123.00,2018-08-02 13:30:40.686986+00,
252,91,6052,1,60.00,2018-08-02 13:30:40.686986+00,
253,91,15539,1,102.00,2018-08-02 13:30:40.686986+00,
254,92,18445,1,68.00,2018-08-02 13:30:40.686986+00,
255,92,8139,1,73.92,2018-08-02 13:30:40.686986+00,
256,93,8772,1,85.49,2018-08-02 13:30:40.686986+00,
257,93,9597,1,99.00,2018-08-02 13:30:40.686986+00,
258,93,3364,1,57.00,2018-08-02 13:30:40.686986+00,
259,93,6757,1,50.41,2018-08-02 13:30:40.686986+00,
260,94,7815,1,84.00,2018-08-02 13:30:40.686986+00,
261,94,10971,1,131.00,2018-08-02 13:30:40.686986+00,
262,94,12635,1,89.00,2018-08-02 13:30:40.686986+00,
263,94,6304,1,89.27,2018-08-02 13:30:40.686986+00,
264,95,16895,1,67.00,2018-08-02 13:30:40.686986+00,
265,95,13092,1,47.40,2018-08-02 13:30:40.686986+00,
266,96,12941,1,87.00,2018-08-02 13:30:40.686986+00,
267,96,13696,1,115.37,2018-08-02 13:30:40.686986+00,
268,96,11115,1,70.80,2018-08-02 13:30:40.686986+00,
269,96,15723,1,55.00,2018-08-02 13:30:40.686986+00,
270,96,12413,1,76.00,2018-08-02 13:30:40.686986+00,
271,97,7495,1,135.00,2018-08-02 13:30:40.686986+00,
272,97,11139,1,84.00,2018-08-02 13:30:40.686986+00,
273,97,15903,1,72.00,2018-08-02 13:30:40.686986+00,
274,97,10167,1,67.20,2018-08-02 13:30:40.686986+00,
275,98,12883,1,47.40,2018-08-02 13:30:40.686986+00,
276,98,14317,1,66.75,2018-08-02 13:30:40.686986+00,
277,98,2970,1,72.00,2018-08-02 13:30:40.686986+00,
278,98,13931,1,133.00,2018-08-02 13:30:40.686986+00,
279,98,8644,1,68.00,2018-08-02 13:30:40.686986+00,
280,99,8390,1,105.00,2018-08-02 13:30:40.686986+00,
281,99,6382,1,53.82,2018-08-02 13:30:40.686986+00,
282,99,1280,1,116.45,2018-08-02 13:30:40.686986+00,
283,99,18143,1,147.00,2018-08-02 13:30:40.686986+00,
284,99,9966,1,113.03,2018-08-02 13:30:40.686986+00,
285,100,6450,1,82.20,2018-08-02 13:30:40.686986+00,
286,100,9290,1,66.00,2018-08-02 13:30:40.686986+00,
287,100,15842,1,60.45,2018-08-02 13:30:40.686986+00,
288,100,14025,1,68.00,2018-08-02 13:30:40.686986+00,
289,100,10674,1,43.20,2018-08-02 13:30:40.686986+00,
290,101,16831,1,45.60,2018-08-02 13:30:40.686986+00,
291,101,7337,1,44.73,2018-08-02 13:30:40.686986+00,
292,101,7289,1,129.05,2018-08-02 13:30:40.686986+00,
293,102,8039,1,69.00,2018-08-02 13:30:40.686986+00,
294,102,9183,1,71.28,2018-08-02 13:30:40.686986+00,
295,103,11252,1,86.00,2018-08-02 13:30:40.686986+00,
296,103,3996,1,136.00,2018-08-02 13:30:40.686986+00,
297,103,14580,1,104.00,2018-08-02 13:30:40.686986+00,
298,103,8534,1,68.60,2018-08-02 13:30:40.686986+00,
299,104,2667,1,70.00,2018-08-02 13:30:40.686986+00,
300,104,6841,1,43.55,2018-08-02 13:30:40.686986+00,
301,104,3469,1,133.00,2018-08-02 13:30:40.686986+00,
302,105,17884,1,46.80,2018-08-02 13:30:40.686986+00,
303,105,18101,1,69.00,2018-08-02 13:30:40.686986+00,
304,106,13060,1,74.40,2018-08-02 13:30:40.686986+00,
305,106,8043,1,69.00,2018-08-02 13:30:40.686986+00,
306,106,4488,1,71.00,2018-08-02 13:30:40.686986+00,
307,106,18223,1,118.80,2018-08-02 13:30:40.686986+00,
308,106,10042,1,103.68,2018-08-02 13:30:40.686986+00,
309,107,8039,1,69.00,2018-08-02 13:30:40.686986+00,
310,107,9188,1,34.20,2018-08-02 13:30:40.686986+00,
311,108,13019,1,86.70,2018-08-02 13:30:40.686986+00,
312,108,5577,1,124.08,2018-08-02 13:30:40.686986+00,
313,109,2690,1,118.30,2018-08-02 13:30:40.686986+00,
314,109,4266,1,54.00,2018-08-02 13:30:40.686986+00,
315,109,7084,1,96.39,2018-08-02 13:30:40.686986+00,
316,110,11474,1,140.00,2018-08-02 13:30:40.686986+00,
317,110,11878,1,63.00,2018-08-02 13:30:40.686986+00,
318,110,9096,1,124.00,2018-08-02 13:30:40.686986+00,
319,111,1530,1,87.84,2018-08-02 13:30:40.686986+00,
320,111,13230,1,63.00,2018-08-02 13:30:40.686986+00,
321,111,3514,1,83.40,2018-08-02 13:30:40.686986+00,
322,112,1274,1,116.45,2018-08-02 13:30:40.686986+00,
323,112,6260,1,129.00,2018-08-02 13:30:40.686986+00,
324,113,1763,1,100.00,2018-08-02 13:30:40.686986+00,
325,113,7379,1,95.14,2018-08-02 13:30:40.686986+00,
326,114,3791,1,46.72,2018-08-02 13:30:40.686986+00,
327,114,17655,1,52.20,2018-08-02 13:30:40.686986+00,
328,115,1854,1,118.00,2018-08-02 13:30:40.686986+00,
329,115,3069,1,107.00,2018-08-02 13:30:40.686986+00,
330,115,10782,1,83.82,2018-08-02 13:30:40.686986+00,
331,115,7788,1,39.00,2018-08-02 13:30:40.686986+00,
332,115,13816,1,81.00,2018-08-02 13:30:40.686986+00,
333,116,13808,1,32.13,2018-08-02 13:30:40.686986+00,
334,117,4303,1,141.00,2018-08-02 13:30:40.686986+00,
335,117,4297,1,141.00,2018-08-02 13:30:40.686986+00,
336,118,8968,1,128.00,2018-08-02 13:30:40.686986+00,
337,118,7989,1,73.92,2018-08-02 13:30:40.686986+00,
338,119,11209,1,55.50,2018-08-02 13:30:40.686986+00,
339,120,5603,1,105.00,2018-08-02 13:30:40.686986+00,
340,120,5504,1,54.72,2018-08-02 13:30:40.686986+00,
341,120,3054,1,62.00,2018-08-02 13:30:40.686986+00,
342,120,5737,1,133.00,2018-08-02 13:30:40.686986+00,
343,120,18383,1,51.30,2018-08-02 13:30:40.686986+00,
344,121,9651,1,87.33,2018-08-02 13:30:40.686986+00,
345,121,858,1,98.15,2018-08-02 13:30:40.686986+00,
346,121,2196,1,117.18,2018-08-02 13:30:40.686986+00,
347,122,5011,1,47.52,2018-08-02 13:30:40.686986+00,
348,122,5085,1,47.40,2018-08-02 13:30:40.686986+00,
349,122,18227,1,118.80,2018-08-02 13:30:40.686986+00,
350,122,2225,1,117.60,2018-08-02 13:30:40.686986+00,
351,122,1662,1,92.00,2018-08-02 13:30:40.686986+00,
352,123,14830,1,57.00,2018-08-02 13:30:40.686986+00,
353,123,11433,1,89.00,2018-08-02 13:30:40.686986+00,
354,123,3191,1,150.00,2018-08-02 13:30:40.686986+00,
355,124,897,1,116.16,2018-08-02 13:30:40.686986+00,
356,124,5513,1,54.72,2018-08-02 13:30:40.686986+00,
357,125,4052,1,146.00,2018-08-02 13:30:40.686986+00,
358,126,16577,1,124.67,2018-08-02 13:30:40.686986+00,
359,126,16229,1,55.08,2018-08-02 13:30:40.686986+00,
360,126,11598,1,55.20,2018-08-02 13:30:40.686986+00,
361,126,14282,1,140.00,2018-08-02 13:30:40.686986+00,
362,127,14628,1,87.78,2018-08-02 13:30:40.686986+00,
363,127,1820,1,104.00,2018-08-02 13:30:40.686986+00,
364,127,17894,1,46.80,2018-08-02 13:30:40.686986+00,
365,127,13218,1,107.00,2018-08-02 13:30:40.686986+00,
366,127,3588,1,127.80,2018-08-02 13:30:40.686986+00,
367,128,5099,1,70.31,2018-08-02 13:30:40.686986+00,
368,129,9627,1,123.00,2018-08-02 13:30:40.686986+00,
369,130,7717,1,61.00,2018-08-02 13:30:40.686986+00,
370,130,3407,1,68.68,2018-08-02 13:30:40.686986+00,
371,130,15990,1,99.56,2018-08-02 13:30:40.686986+00,
372,131,10522,1,42.84,2018-08-02 13:30:40.686986+00,
373,132,8541,1,68.60,2018-08-02 13:30:40.686986+00,
374,132,7474,1,78.44,2018-08-02 13:30:40.686986+00,
375,132,7596,1,112.34,2018-08-02 13:30:40.686986+00,
376,132,8615,1,51.00,2018-08-02 13:30:40.686986+00,
377,133,3951,1,84.00,2018-08-02 13:30:40.686986+00,
378,133,16841,1,45.60,2018-08-02 13:30:40.686986+00,
379,134,14582,1,104.00,2018-08-02 13:30:40.686986+00,
380,134,5253,1,60.52,2018-08-02 13:30:40.686986+00,
381,134,9023,1,136.00,2018-08-02 13:30:40.686986+00,
382,134,3379,1,149.00,2018-08-02 13:30:40.686986+00,
383,134,3767,1,122.00,2018-08-02 13:30:40.686986+00,
384,135,9508,1,39.60,2018-08-02 13:30:40.686986+00,
385,135,14592,1,104.00,2018-08-02 13:30:40.686986+00,
386,135,16122,1,95.04,2018-08-02 13:30:40.686986+00,
387,135,12799,1,73.20,2018-08-02 13:30:40.686986+00,
388,135,10745,1,33.00,2018-08-02 13:30:40.686986+00,
389,136,14130,1,123.00,2018-08-02 13:30:40.686986+00,
390,136,6407,1,107.52,2018-08-02 13:30:40.686986+00,
391,136,2874,1,35.51,2018-08-02 13:30:40.686986+00,
392,137,9437,1,117.00,2018-08-02 13:30:40.686986+00,
393,137,9060,1,50.70,2018-08-02 13:30:40.686986+00,
394,138,14182,1,65.00,2018-08-02 13:30:40.686986+00,
395,138,9592,1,99.00,2018-08-02 13:30:40.686986+00,
396,138,7789,1,39.00,2018-08-02 13:30:40.686986+00,
397,139,11271,1,113.00,2018-08-02 13:30:40.686986+00,
398,139,12902,1,47.40,2018-08-02 13:30:40.686986+00,
399,139,8666,1,121.00,2018-08-02 13:30:40.686986+00,
400,140,14157,1,71.20,2018-08-02 13:30:40.686986+00,
401,140,12333,1,94.00,2018-08-02 13:30:40.686986+00,
402,140,12527,1,45.90,2018-08-02 13:30:40.686986+00,
403,141,3382,1,149.00,2018-08-02 13:30:40.686986+00,
404,142,18379,1,51.30,2018-08-02 13:30:40.686986+00,
405,142,17662,1,43.35,2018-08-02 13:30:40.686986+00,
406,142,10181,1,67.20,2018-08-02 13:30:40.686986+00,
407,143,17692,1,64.50,2018-08-02 13:30:40.686986+00,
408,143,17809,1,117.00,2018-08-02 13:30:40.686986+00,
409,144,5528,1,147.00,2018-08-02 13:30:40.686986+00,
410,145,14625,1,87.78,2018-08-02 13:30:40.686986+00,
411,145,14285,1,140.00,2018-08-02 13:30:40.686986+00,
412,146,16587,1,124.67,2018-08-02 13:30:40.686986+00,
413,146,18375,1,64.00,2018-08-02 13:30:40.686986+00,
414,147,16558,1,61.41,2018-08-02 13:30:40.686986+00,
415,148,2227,1,117.60,2018-08-02 13:30:40.686986+00,
416,148,9603,1,99.00,2018-08-02 13:30:40.686986+00,
417,149,13083,1,47.40,2018-08-02 13:30:40.686986+00,
418,149,12884,1,47.40,2018-08-02 13:30:40.686986+00,
419,149,9353,1,74.12,2018-08-02 13:30:40.686986+00,
420,149,6110,1,150.00,2018-08-02 13:30:40.686986+00,
421,149,14236,1,48.00,2018-08-02 13:30:40.686986+00,
422,150,17480,1,63.60,2018-08-02 13:30:40.686986+00,
423,151,13062,1,74.40,2018-08-02 13:30:40.686986+00,
424,151,1766,1,100.00,2018-08-02 13:30:40.686986+00,
425,151,4142,1,57.42,2018-08-02 13:30:40.686986+00,
426,151,7688,1,149.00,2018-08-02 13:30:40.686986+00,
427,152,15033,1,52.20,2018-08-02 13:30:40.686986+00,
428,152,12689,1,57.60,2018-08-02 13:30:40.686986+00,
429,152,9337,1,83.16,2018-08-02 13:30:40.686986+00,
430,152,13265,1,78.66,2018-08-02 13:30:40.686986+00,
431,152,8534,1,68.60,2018-08-02 13:30:40.686986+00,
432,153,13997,1,126.15,2018-08-02 13:30:40.686986+00,
433,154,2682,1,70.00,2018-08-02 13:30:40.686986+00,
434,154,5358,1,123.00,2018-08-02 13:30:40.686986+00,
435,155,16151,1,89.00,2018-08-02 13:30:40.686986+00,
436,155,17967,1,80.00,2018-08-02 13:30:40.686986+00,
437,156,1685,1,66.50,2018-08-02 13:30:40.686986+00,
438,156,13533,1,73.00,2018-08-02 13:30:40.686986+00,
439,156,5765,1,143.00,2018-08-02 13:30:40.686986+00,
440,157,9548,1,98.40,2018-08-02 13:30:40.686986+00,
441,157,17388,1,118.75,2018-08-02 13:30:40.686986+00,
442,157,3072,1,107.00,2018-08-02 13:30:40.686986+00,
443,157,3053,1,62.00,2018-08-02 13:30:40.686986+00,
444,158,10044,1,103.68,2018-08-02 13:30:40.686986+00,
445,158,16503,1,105.00,2018-08-02 13:30:40.686986+00,
