id,customerid,ordertimestamp,shippingaddressid,total,shippingcost,created,updated
53,416,2017-12-15 23:34:34.946186+00,416,211.26,3.9,2018-08-02 13:30:40.686986+00,
54,601,2016-12-13 01:52:01.739786+00,601,137,3.9,2018-08-02 13:30:40.686986+00,
55,448,2018-06-25 16:19:42.318986+00,448,213.6,3.9,2018-08-02 13:30:40.686986+00,
56,781,2016-08-05 09:09:07.941386+00,781,199.5,3.9,2018-08-02 13:30:40.686986+00,
57,540,2017-01-25 09:59:04.638986+00,540,86.24,3.9,2018-08-02 13:30:40.686986+00,
58,358,2017-03-24 16:16:22.216586+00,358,273.15,3.9,2018-08-02 13:30:40.686986+00,
59,173,2016-12-05 16:25:50.901386+00,173,138.15,3.9,2018-08-02 13:30:40.686986+00,
60,232,2016-10-31 00:25:00.846986+00,232,541.57,3.9,2018-08-02 13:30:40.686986+00,
61,554,2018-01-04 18:14:43.950986+00,554,371,3.9,2018-08-02 13:30:40.686986+00,
62,955,2016-12-01 08:28:50.901386+00,955,404.82,3.9,2018-08-02 13:30:40.686986+00,
63,615,2018-06-21 05:00:44.114186+00,615,199.89,3.9,2018-08-02 13:30:40.686986+00,
64,1011,2017-07-16 06:48:05.406986+00,1011,263.8,3.9,2018-08-02 13:30:40.686986+00,
65,499,2017-09-14 15:51:35.013386+00,499,148.62,3.9,2018-08-02 13:30:40.686986+00,
66,629,2017-07-27 19:42:58.283786+00,629,218.28,3.9,2018-08-02 13:30:40.686986+00,
67,1081,2018-03-11 17:53:04.754186+00,1081,542.64,3.9,2018-08-02 13:30:40.686986+00,
68,418,2017-05-24 09:34:14.152586+00,418,97.49,3.9,2018-08-02 13:30:40.686986+00,
69,582,2016-08-19 08:15:12.606986+00,582,175.33,3.9,2018-08-02 13:30:40.686986+00,
70,918,2017-07-13 09:21:03.678986+00,918,357.18,3.9,2018-08-02 13:30:40.686986+00,
71,1069,2017-04-21 19:29:53.339786+00,1069,177,3.9,2018-08-02 13:30:40.686986+00,
72,439,2017-11-08 19:06:09.813386+00,439,408.58,3.9,2018-08-02 13:30:40.686986+00,
73,460,2016-09-01 20:12:24.213386+00,460,542.58,3.9,2018-08-02 13:30:40.686986+00,
74,523,2017-03-10 17:26:25.490186+00,523,270.95,3.9,2018-08-02 13:30:40.686986+00,
75,561,2016-09-28 03:50:45.592586+00,561,97.8,3.9,2018-08-02 13:30:40.686986+00,
76,387,2018-03-05 10:43:41.483786+00,387,251.2,3.9,2018-08-02 13:30:40.686986+00,
77,446,2017-02-14 22:13:39.525386+00,446,181.4,3.9,2018-08-02 13:30:40.686986+00,
78,477,2018-03-19 18:48:43.163786+00,477,484.27,3.9,2018-08-02 13:30:40.686986+00,
79,407,2018-01-21 22:35:19.067786+00,407,494.51,3.9,2018-08-02 13:30:40.686986+00,
80,454,2016-11-10 17:58:13.893386+00,454,145,3.9,2018-08-02 13:30:40.686986+00,
81,555,2018-07-20 18:29:21.515786+00,555,268.52,3.9,2018-08-02 13:30:40.686986+00,
82,786,2017-12-06 03:21:21.650186+00,786,239.38,3.9,2018-08-02 13:30:40.686986+00,
83,954,2017-09-24 02:00:09.381386+00,954,442.88,3.9,2018-08-02 13:30:40.686986+00,
84,789,2018-07-26 02:38:22.523786+00,789,235.75,3.9,2018-08-02 13:30:40.686986+00,
85,539,2016-10-06 22:38:10.658186+00,539,299,3.9,2018-08-02 13:30:40.686986+00,
86,132,2017-03-24 02:29:13.710986+00,1132,189.82,3.9,2018-08-02 13:30:40.686986+00,
87,871,2017-12-23 19:47:46.514186+00,871,299,3.9,2018-08-02 13:30:40.686986+00,
88,711,2017-08-22 23:32:21.803786+00,711,121,3.9,2018-08-02 13:30:40.686986+00,
89,386,2016-08-08 19:11:44.267786+00,386,213.5,3.9,2018-08-02 13:30:40.686986+00,
90,378,2018-03-29 12:44:33.122186+00,378,114,3.9,2018-08-02 13:30:40.686986+00,
91,352,2017-01-18 17:06:28.763786+00,352,398.8,3.9,2018-08-02 13:30:40.686986+00,
92,572,2017-06-11 13:04:38.834186+00,572,141.92,3.9,2018-08-02 13:30:40.686986+00,
93,1077,2018-04-02 10:53:21.746186+00,1077,291.9,3.9,2018-08-02 13:30:40.686986+00,
94,401,2018-04-20 04:17:15.352586+00,401,393.27,3.9,2018-08-02 13:30:40.686986+00,
95,277,2018-01-08 07:48:15.458186+00,277,114.4,3.9,2018-08-02 13:30:40.686986+00,
96,860,2017-10-03 21:12:37.720586+00,860,404.17,3.9,2018-08-02 13:30:40.686986+00,
97,139,2017-12-26 19:53:18.635786+00,139,358.2,3.9,2018-08-02 13:30:40.686986+00,
98,812,2018-04-16 09:27:33.861386+00,812,387.15,3.9,2018-08-02 13:30:40.686986+00,
99,678,2017-07-23 10:25:18.242186+00,678,535.3,3.9,2018-08-02 13:30:40.686986+00,
100,216,2016-10-25 14:42:51.918986+00,216,319.85,3.9,2018-08-02 13:30:40.686986+00,
101,846,2016-10-24 19:19:15.880586+00,846,219.38,3.9,2018-08-02 13:30:40.686986+00,
102,347,2018-06-22 14:38:41.963786+00,347,140.28,3.9,2018-08-02 13:30:40.686986+00,
103,1099,2017-04-15 00:02:53.915786+00,1099,394.6,3.9,2018-08-02 13:30:40.686986+00,
104,182,2017-12-18 07:11:09.794186+00,182,246.55,3.9,2018-08-02 13:30:40.686986+00,
105,1016,2018-02-18 15:30:02.037386+00,1016,115.8,3.9,2018-08-02 13:30:40.686986+00,
106,680,2016-09-15 08:34:36.155786+00,680,436.88,3.9,2018-08-02 13:30:40.686986+00,
107,498,2018-02-17 05:16:02.891786+00,498,103.2,3.9,2018-08-02 13:30:40.686986+00,
108,567,2018-01-09 16:16:43.902986+00,567,210.78,3.9,2018-08-02 13:30:40.686986+00,
109,669,2016-11-10 05:00:04.974986+00,669,268.69,3.9,2018-08-02 13:30:40.686986+00,
110,540,2017-06-09 04:51:28.994186+00,540,327,3.9,2018-08-02 13:30:40.686986+00,
111,698,2017-08-23 15:28:58.274186+00,698,234.24,3.9,2018-08-02 13:30:40.686986+00,
112,167,2016-11-14 09:45:25.480586+00,167,245.45,3.9,2018-08-02 13:30:40.686986+00,
113,431,2017-03-04 03:12:21.045386+00,431,195.14,3.9,2018-08-02 13:30:40.686986+00,
114,143,2017-10-19 20:59:40.811786+00,143,98.92,3.9,2018-08-02 13:30:40.686986+00,
115,873,2018-06-13 03:01:35.810186+00,873,428.82,3.9,2018-08-02 13:30:40.686986+00,
116,837,2017-08-03 17:22:06.549386+00,837,32.13,3.9,2018-08-02 13:30:40.686986+00,
117,165,2018-02-18 08:40:18.818186+00,165,282,3.9,2018-08-02 13:30:40.686986+00,
118,385,2017-05-17 02:41:32.344586+00,385,201.92,3.9,2018-08-02 13:30:40.686986+00,
119,255,2017-04-12 20:33:52.350986+00,255,55.5,3.9,2018-08-02 13:30:40.686986+00,
120,411,2018-05-22 23:12:56.699786+00,411,406.02,3.9,2018-08-02 13:30:40.686986+00,
121,365,2017-04-15 18:31:21.179786+00,365,302.66,3.9,2018-08-02 13:30:40.686986+00,
122,732,2018-02-13 09:25:50.699786+00,732,423.32,3.9,2018-08-02 13:30:40.686986+00,
123,732,2017-06-27 16:53:22.437386+00,732,296,3.9,2018-08-02 13:30:40.686986+00,
124,530,2018-02-02 02:46:23.858186+00,530,170.88,3.9,2018-08-02 13:30:40.686986+00,
125,890,2017-09-20 18:40:11.243786+00,890,146,3.9,2018-08-02 13:30:40.686986+00,
126,373,2017-05-24 17:23:52.302986+00,373,374.95,3.9,2018-08-02 13:30:40.686986+00,
127,360,2017-07-12 08:05:29.147786+00,360,473.38,3.9,2018-08-02 13:30:40.686986+00,
128,379,2017-01-13 22:29:02.450186+00,379,70.31,3.9,2018-08-02 13:30:40.686986+00,
129,276,2017-05-05 22:53:20.882186+00,276,123,3.9,2018-08-02 13:30:40.686986+00,
130,524,2017-05-27 02:51:42.155786+00,524,229.24,3.9,2018-08-02 13:30:40.686986+00,
131,1011,2017-01-29 19:55:45.429386+00,1011,42.84,3.9,2018-08-02 13:30:40.686986+00,
132,426,2016-12-06 05:29:22.350986+00,426,310.38,3.9,2018-08-02 13:30:40.686986+00,
133,943,2017-01-08 04:30:53.560586+00,943,129.6,3.9,2018-08-02 13:30:40.686986+00,
134,737,2017-09-13 01:42:57.419786+00,737,571.52,3.9,2018-08-02 13:30:40.686986+00,
135,697,2018-05-23 14:27:28.907786+00,697,344.84,3.9,2018-08-02 13:30:40.686986+00,
136,488,2018-03-13 11:32:02.104586+00,488,266.03,3.9,2018-08-02 13:30:40.686986+00,
137,143,2017-05-26 08:53:52.965386+00,143,167.7,3.9,2018-08-02 13:30:40.686986+00,
138,469,2018-07-04 16:00:34.235786+00,469,203,3.9,2018-08-02 13:30:40.686986+00,
139,749,2017-03-25 21:04:15.995786+00,749,281.4,3.9,2018-08-02 13:30:40.686986+00,
140,931,2018-06-30 08:51:49.758986+00,931,211.1,3.9,2018-08-02 13:30:40.686986+00,
141,323,2017-08-26 10:25:58.072586+00,323,149,3.9,2018-08-02 13:30:40.686986+00,
142,446,2018-04-16 21:10:33.390986+00,446,161.85,3.9,2018-08-02 13:30:40.686986+00,
143,580,2018-07-15 05:09:06.184586+00,580,181.5,3.9,2018-08-02 13:30:40.686986+00,
144,502,2018-01-06 17:24:07.163786+00,502,147,3.9,2018-08-02 13:30:40.686986+00,
145,854,2017-12-09 19:39:03.621386+00,854,227.78,3.9,2018-08-02 13:30:40.686986+00,
146,457,2017-09-05 17:17:10.024586+00,457,188.67,3.9,2018-08-02 13:30:40.686986+00,
147,236,2017-05-21 10:33:59.406986+00,236,61.41,3.9,2018-08-02 13:30:40.686986+00,
148,312,2018-04-04 22:18:48.837386+00,312,216.6,3.9,2018-08-02 13:30:40.686986+00,
149,545,2018-02-15 14:17:54.952586+00,545,366.92,3.9,2018-08-02 13:30:40.686986+00,
150,146,2018-06-12 18:47:21.256586+00,146,63.6,3.9,2018-08-02 13:30:40.686986+00,
151,295,2016-11-15 19:38:25.346186+00,295,380.82,3.9,2018-08-02 13:30:40.686986+00,
152,425,2018-05-07 19:04:43.413386+00,425,340.22,3.9,2018-08-02 13:30:40.686986+00,
153,389,2018-02-21 01:35:30.386186+00,389,126.15,3.9,2018-08-02 13:30:40.686986+00,
154,836,2016-10-14 10:29:34.504586+00,836,193,3.9,2018-08-02 13:30:40.686986+00,
155,776,2016-09-21 16:16:15.822986+00,776,169,3.9,2018-08-02 13:30:40.686986+00,
156,782,2017-03-01 18:53:00.290186+00,782,282.5,3.9,2018-08-02 13:30:40.686986+00,
157,956,2017-01-03 15:31:48.482186+00,956,386.15,3.9,2018-08-02 13:30:40.686986+00,
158,166,2017-04-04 09:27:04.571786+00,166,398.68,3.9,2018-08-02 13:30:40.686986+00,
159,893,2017-07-31 02:19:38.546186+00,893,414.65,3.9,2018-08-02 13:30:40.686986+00,
160,496,2016-12-25 01:39:58.226186+00,496,328.92,3.9,2018-08-02 13:30:40.686986+00,
161,879,2018-05-11 20:25:38.315786+00,879,78.44,3.9,2018-08-02 13:30:40.686986+00,
162,616,2016-11-30 23:50:21.371786+00,616,374.2,3.9,2018-08-02 13:30:40.686986+00,
163,436,2017-05-14 18:04:54.962186+00,436,132.19,3.9,2018-08-02 13:30:40.686986+00,
164,1048,2017-06-10 00:13:26.363786+00,1048,32.13,3.9,2018-08-02 13:30:40.686986+00,
165,629,2017-12-22 13:39:11.138186+00,629,105.54,3.9,2018-08-02 13:30:40.686986+00,
166,766,2017-11-20 05:34:53.090186+00,766,440.01,3.9,2018-08-02 13:30:40.686986+00,
167,197,2017-07-07 01:55:13.806986+00,197,208,3.9,2018-08-02 13:30:40.686986+00,
168,505,2016-10-12 06:03:44.546186+00,505,372.46,3.9,2018-08-02 13:30:40.686986+00,
169,909,2016-12-07 23:29:48.098186+00,909,328.88,3.9,2018-08-02 13:30:40.686986+00,
170,630,2016-10-05 02:34:17.925386+00,630,118,3.9,2018-08-02 13:30:40.686986+00,
171,1043,2018-06-01 04:29:21.112586+00,1043,123.92,3.9,2018-08-02 13:30:40.686986+00,
172,236,2017-06-21 06:17:48.242186+00,236,441.77,3.9,2018-08-02 13:30:40.686986+00,
173,771,2017-11-10 16:14:26.613386+00,771,152,3.9,2018-08-02 13:30:40.686986+00,
174,673,2017-09-28 08:25:12.827786+00,673,399.42,3.9,2018-08-02 13:30:40.686986+00,
175,279,2017-01-31 01:02:38.306186+00,279,376.89,3.9,2018-08-02 13:30:40.686986+00,
176,1091,2017-01-05 00:00:48.894986+00,1091,105,3.9,2018-08-02 13:30:40.686986+00,
177,312,2017-09-24 17:13:43.010186+00,312,420.73,3.9,2018-08-02 13:30:40.686986+00,
178,355,2017-01-24 23:13:27.717386+00,355,184.85,3.9,2018-08-02 13:30:40.686986+00,
179,366,2016-11-14 02:13:41.627786+00,366,455.95,3.9,2018-08-02 13:30:40.686986+00,
180,200,2018-03-11 01:07:14.872586+00,200,248.19,3.9,2018-08-02 13:30:40.686986+00,
181,746,2017-09-28 13:06:23.032586+00,746,269.2,3.9,2018-08-02 13:30:40.686986+00,
182,946,2018-01-11 18:02:59.963786+00,946,348.14,3.9,2018-08-02 13:30:40.686986+00,
183,722,2018-06-13 23:30:06.242186+00,722,122.5,3.9,2018-08-02 13:30:40.686986+00,
184,247,2016-09-04 15:38:42.510986+00,247,215.68,3.9,2018-08-02 13:30:40.686986+00,
185,165,2017-01-13 08:24:32.565386+00,165,33,3.9,2018-08-02 13:30:40.686986+00,
186,137,2017-05-28 23:32:52.648586+00,137,114.72,3.9,2018-08-02 13:30:40.686986+00,
187,1051,2018-06-21 03:50:47.406986+00,1051,407.28,3.9,2018-08-02 13:30:40.686986+00,
188,1053,2017-02-26 19:27:45.554186+00,1053,347.73,3.9,2018-08-02 13:30:40.686986+00,
189,237,2018-04-26 19:11:35.627786+00,237,38.76,3.9,2018-08-02 13:30:40.686986+00,
190,260,2016-10-03 16:24:48.866186+00,260,265.39,3.9,2018-08-02 13:30:40.686986+00,
191,353,2018-06-04 21:40:29.042186+00,353,262.89,3.9,2018-08-02 13:30:40.686986+00,
192,499,2018-05-31 21:46:00.472586+00,499,469.55,3.9,2018-08-02 13:30:40.686986+00,
193,757,2017-06-01 03:52:04.043786+00,757,343.08,3.9,2018-08-02 13:30:40.686986+00,
194,757,2017-11-29 12:01:50.757386+00,757,370.59,3.9,2018-08-02 13:30:40.686986+00,
195,1042,2018-01-07 21:18:14.594186+00,1042,331,3.9,2018-08-02 13:30:40.686986+00,
196,495,2018-05-29 09:55:47.819786+00,495,178.49,3.9,2018-08-02 13:30:40.686986+00,
197,1006,2018-03-09 15:45:01.547786+00,1006,358.11,3.9,2018-08-02 13:30:40.686986+00,
198,119,2017-12-24 22:14:55.470986+00,1119,468.21,3.9,2018-08-02 13:30:40.686986+00,
199,662,2017-08-16 22:57:54.770186+00,662,411,3.9,2018-08-02 13:30:40.686986+00,
200,386,2017-10-02 00:16:22.014986+00,386,379.07,3.9,2018-08-02 13:30:40.686986+00,
201,1035,2016-10-31 18:11:38.104586+00,1035,143.9,3.9,2018-08-02 13:30:40.686986+00,
202,686,2016-09-10 11:47:33.755786+00,686,441.46,3.9,2018-08-02 13:30:40.686986+00,
203,489,2017-12-22 05:19:20.747786+00,489,99.54,3.9,2018-08-02 13:30:40.686986+00,
204,820,2017-08-29 08:29:17.512586+00,820,109.89,3.9,2018-08-02 13:30:40.686986+00,
205,1092,2016-09-14 17:36:05.579786+00,1092,327.34,3.9,2018-08-02 13:30:40.686986+00,
206,237,2016-11-07 06:09:38.354186+00,237,352.84,3.9,2018-08-02 13:30:40.686986+00,
207,763,2017-05-17 08:21:51.429386+00,763,367,3.9,2018-08-02 13:30:40.686986+00,
208,879,2017-02-03 21:13:30.338186+00,879,340.34,3.9,2018-08-02 13:30:40.686986+00,
209,552,2017-09-02 08:57:03.304586+00,552,115.08,3.9,2018-08-02 13:30:40.686986+00,
210,690,2018-06-08 08:26:48.472586+00,690,221.81,3.9,2018-08-02 13:30:40.686986+00,
211,590,2017-02-16 17:23:41.848586+00,590,181.4,3.9,2018-08-02 13:30:40.686986+00,
212,436,2017-06-03 17:30:55.403786+00,436,369.6,3.9,2018-08-02 13:30:40.686986+00,
213,949,2016-12-17 05:21:02.613386+00,949,336.53,3.9,2018-08-02 13:30:40.686986+00,
214,444,2017-07-07 19:07:26.363786+00,444,354,3.9,2018-08-02 13:30:40.686986+00,
215,377,2016-09-13 15:44:00.722186+00,377,125.2,3.9,2018-08-02 13:30:40.686986+00,
216,149,2017-03-04 07:33:56.210186+00,149,210.8,3.9,2018-08-02 13:30:40.686986+00,
217,179,2018-01-31 04:35:04.984586+00,179,73.2,3.9,2018-08-02 13:30:40.686986+00,
218,665,2018-05-31 16:18:27.410186+00,665,445.74,3.9,2018-08-02 13:30:40.686986+00,
219,401,2017-04-06 07:34:31.202186+00,401,92.7,3.9,2018-08-02 13:30:40.686986+00,
220,226,2017-01-28 05:53:41.992586+00,226,512.68,3.9,2018-08-02 13:30:40.686986+00,
221,1073,2016-09-18 21:51:20.152586+00,1073,402.87,3.9,2018-08-02 13:30:40.686986+00,
222,167,2017-12-28 14:24:22.283786+00,167,224.53,3.9,2018-08-02 13:30:40.686986+00,
223,491,2017-01-06 00:47:27.390986+00,491,179.65,3.9,2018-08-02 13:30:40.686986+00,
224,973,2016-10-26 23:47:55.096586+00,973,119.2,3.9,2018-08-02 13:30:40.686986+00,
225,471,2018-01-30 00:38:57.285386+00,471,319.5,3.9,2018-08-02 13:30:40.686986+00,
226,1085,2017-09-01 06:58:11.762186+00,1085,406.69,3.9,2018-08-02 13:30:40.686986+00,
227,348,2018-03-04 02:13:43.182986+00,348,115.14,3.9,2018-08-02 13:30:40.686986+00,
228,1056,2017-08-02 07:58:24.491786+00,1056,329,3.9,2018-08-02 13:30:40.686986+00,
229,289,2016-11-01 06:07:36.098186+00,289,264,3.9,2018-08-02 13:30:40.686986+00,
230,1081,2017-09-24 22:48:24.011786+00,1081,248.28,3.9,2018-08-02 13:30:40.686986+00,
231,250,2017-06-13 05:06:24.962186+00,250,203.52,3.9,2018-08-02 13:30:40.686986+00,
232,895,2017-02-18 19:13:23.195786+00,895,462.44,3.9,2018-08-02 13:30:40.686986+00,
233,526,2017-07-15 23:20:34.965386+00,526,221.81,3.9,2018-08-02 13:30:40.686986+00,
234,279,2017-05-15 20:53:41.042186+00,279,114.81,3.9,2018-08-02 13:30:40.686986+00,
235,1053,2017-12-27 07:12:48.376586+00,1053,202.6,3.9,2018-08-02 13:30:40.686986+00,
236,535,2018-02-17 13:44:32.632586+00,535,119.68,3.9,2018-08-02 13:30:40.686986+00,
237,316,2017-07-30 04:43:39.842186+00,316,322.02,3.9,2018-08-02 13:30:40.686986+00,
238,649,2017-08-19 13:16:08.738186+00,649,174.55,3.9,2018-08-02 13:30:40.686986+00,
239,197,2017-05-27 06:16:17.090186+00,197,70.8,3.9,2018-08-02 13:30:40.686986+00,
240,487,2018-04-14 14:09:48.606986+00,487,370.8,3.9,2018-08-02 13:30:40.686986+00,
241,441,2017-01-21 15:51:20.498186+00,441,128,3.9,2018-08-02 13:30:40.686986+00,
242,628,2017-11-10 16:17:03.170186+00,628,168.89,3.9,2018-08-02 13:30:40.686986+00,
243,121,2017-09-19 21:31:04.936586+00,1121,451.52,3.9,2018-08-02 13:30:40.686986+00,
244,850,2017-01-07 07:46:52.254986+00,850,174.3,3.9,2018-08-02 13:30:40.686986+00,
245,235,2016-08-16 17:29:41.186186+00,235,451.55,3.9,2018-08-02 13:30:40.686986+00,
246,516,2017-09-10 11:19:01.566986+00,516,177.38,3.9,2018-08-02 13:30:40.686986+00,
247,265,2018-03-12 19:38:59.906186+00,265,140,3.9,2018-08-02 13:30:40.686986+00,
248,183,2017-03-31 20:33:23.406986+00,183,63.24,3.9,2018-08-02 13:30:40.686986+00,
249,137,2018-03-18 16:27:14.968586+00,137,319.2,3.9,2018-08-02 13:30:40.686986+00,
250,450,2016-11-06 09:51:52.293386+00,450,47.4,3.9,2018-08-02 13:30:40.686986+00,
251,216,2018-04-04 02:16:48.165386+00,216,305.78,3.9,2018-08-02 13:30:40.686986+00,
252,1013,2017-08-26 19:53:42.568586+00,1013,253.2,3.9,2018-08-02 13:30:40.686986+00,
253,654,2018-02-25 10:39:27.035786+00,654,80,3.9,2018-08-02 13:30:40.686986+00,
254,860,2017-12-15 08:08:12.530186+00,860,142.02,3.9,2018-08-02 13:30:40.686986+00,
255,754,2017-10-07 05:17:38.795786+00,754,548.2,3.9,2018-08-02 13:30:40.686986+00,
256,296,2016-09-12 06:01:20.258186+00,296,444.7,3.9,2018-08-02 13:30:40.686986+00,
257,582,2018-05-07 12:38:07.000586+00,582,200,3.9,2018-08-02 13:30:40.686986+00,
258,113,2017-08-11 00:44:14.546186+00,1113,50.7,3.9,2018-08-02 13:30:40.686986+00,
259,104,2018-07-10 18:16:41.368586+00,1104,207.75,3.9,2018-08-02 13:30:40.686986+00,
260,329,2018-06-02 19:24:20.440586+00,329,335.65,3.9,2018-08-02 13:30:40.686986+00,
261,556,2018-04-21 22:48:27.035786+00,556,132.05,3.9,2018-08-02 13:30:40.686986+00,
262,1064,2018-01-20 19:36:50.133386+00,1064,444.22,3.9,2018-08-02 13:30:40.686986+00,
263,145,2018-05-06 04:07:39.496586+00,145,350.44,3.9,2018-08-02 13:30:40.686986+00,
264,565,2017-03-13 02:00:20.094986+00,565,105,3.9,2018-08-02 13:30:40.686986+00,
265,681,2017-06-03 04:19:09.659786+00,681,298.42,3.9,2018-08-02 13:30:40.686986+00,
266,288,2016-11-09 23:04:43.442186+00,288,300.36,3.9,2018-08-02 13:30:40.686986+00,
267,902,2017-11-23 19:31:29.589386+00,902,73.2,3.9,2018-08-02 13:30:40.686986+00,
268,776,2016-08-10 02:38:44.469386+00,776,151.9,3.9,2018-08-02 13:30:40.686986+00,
269,742,2018-03-26 10:10:39.294986+00,742,510.81,3.9,2018-08-02 13:30:40.686986+00,
270,432,2017-12-08 01:58:14.642186+00,432,241.21,3.9,2018-08-02 13:30:40.686986+00,
271,379,2017-10-22 13:48:48.030986+00,379,178.22,3.9,2018-08-02 13:30:40.686986+00,
272,284,2017-11-10 04:24:57.765386+00,284,56.09,3.9,2018-08-02 13:30:40.686986+00,
273,994,2017-08-16 17:35:26.613386+00,994,386.2,3.9,2018-08-02 13:30:40.686986+00,
274,230,2017-09-13 21:26:30.184586+00,230,370.24,3.9,2018-08-02 13:30:40.686986+00,
275,623,2017-02-11 11:21:05.205386+00,623,103,3.9,2018-08-02 13:30:40.686986+00,
276,866,2016-12-31 07:38:00.203786+00,866,59.94,3.9,2018-08-02 13:30:40.686986+00,
277,504,2017-06-14 18:03:10.331786+00,504,338.86,3.9,2018-08-02 13:30:40.686986+00,
278,347,2017-12-05 10:04:29.243786+00,347,311.55,3.9,2018-08-02 13:30:40.686986+00,
279,415,2018-03-08 01:02:41.330186+00,415,72.25,3.9,2018-08-02 13:30:40.686986+00,
280,362,2018-04-17 18:55:36.242186+00,362,116,3.9,2018-08-02 13:30:40.686986+00,
281,899,2018-05-10 17:54:20.699786+00,899,523.14,3.9,2018-08-02 13:30:40.686986+00,
282,724,2017-07-30 15:48:27.957386+00,724,95.14,3.9,2018-08-02 13:30:40.686986+00,
283,494,2017-06-29 07:48:41.723786+00,494,417.85,3.9,2018-08-02 13:30:40.686986+00,
